"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"15","consensus_80",30,".","A","G",167532,".","AC=163;AF=0.516;AN=316;BaseQRankSum=0.501;ClippingRankSum=-0.003;DP=10803;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.8891;MLEAC=163;MLEAF=0.516;MQ=31.58;MQRankSum=-91.829;QD=15.67;ReadPosRankSum=-0.479;SOR=1.112","GT:AD:DP:GQ:PL"
"16","consensus_90",16,".","G","T",242.23,".","AC=22;AF=0.071;AN=310;BaseQRankSum=-0.562;ClippingRankSum=0.000;DP=4125;ExcessHet=1.9243;FS=0.000;InbreedingCoeff=-0.0128;MLEAC=16;MLEAF=0.052;MQ=34.72;MQRankSum=-26.897;QD=0.89;ReadPosRankSum=-1.692;SOR=0.001","GT:AD:DP:GQ:PL"
"17","consensus_97",61,".","C","T",31147.7,".","AC=81;AF=0.265;AN=306;BaseQRankSum=-0.816;ClippingRankSum=0.000;DP=3763;ExcessHet=3.9229;FS=0.000;InbreedingCoeff=-0.0457;MLEAC=79;MLEAF=0.258;MQ=41.87;MQRankSum=0.452;QD=17.59;ReadPosRankSum=0.972;SOR=0.095","GT:AD:DP:GQ:PL"
"18","consensus_105",76,".","T","C",45388.6,".","AC=71;AF=0.228;AN=312;BaseQRankSum=-3.372;ClippingRankSum=0.000;DP=5605;ExcessHet=16.4792;FS=0.000;InbreedingCoeff=-0.1676;MLEAC=71;MLEAF=0.228;MQ=33.98;MQRankSum=73.090;QD=17.97;ReadPosRankSum=1.827;SOR=0.089","GT:AD:DP:GQ:PL"
"19","consensus_107",24,".","C","G",43272.7,".","AC=153;AF=0.490;AN=312;BaseQRankSum=2.226;ClippingRankSum=0.000;DP=3855;ExcessHet=155.1161;FS=0.000;InbreedingCoeff=-0.6357;MLEAC=153;MLEAF=0.490;MQ=31.37;MQRankSum=-57.241;QD=12.47;ReadPosRankSum=2.262;SOR=0.598","GT:AD:DP:GQ:PL"
"20","consensus_109",81,".","G","C",141571,".","AC=154;AF=0.490;AN=314;BaseQRankSum=-4.092;ClippingRankSum=-0.002;DP=8279;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9203;MLEAC=155;MLEAF=0.494;MQ=41.95;MQRankSum=-6.608;QD=17.34;ReadPosRankSum=0.035;SOR=0.684","GT:AD:DP:GQ:PL"
"21","consensus_110",68,".","G","T",248.4,".","AC=29;AF=0.103;AN=282;BaseQRankSum=-19.547;ClippingRankSum=0.000;DP=4856;ExcessHet=0.0003;FS=0.000;InbreedingCoeff=0.2432;MLEAC=20;MLEAF=0.071;MQ=33.28;MQRankSum=-12.231;QD=5.18;ReadPosRankSum=-2.389;SOR=0.000","GT:AD:DP:GQ:PL"
"22","consensus_111",72,".","G","T",49405.8,".","AC=78;AF=0.247;AN=316;BaseQRankSum=2.347;ClippingRankSum=-0.002;DP=11565;ExcessHet=45.5729;FS=0.000;InbreedingCoeff=-0.2930;MLEAC=78;MLEAF=0.247;MQ=41.98;MQRankSum=-7.609;QD=8.42;ReadPosRankSum=-1.831;SOR=0.028","GT:AD:DP:GQ:PL"
"23","consensus_128",33,".","A","T",57895.3,".","AC=90;AF=0.288;AN=312;BaseQRankSum=0.591;ClippingRankSum=-0.000;DP=6033;ExcessHet=13.3598;FS=0.000;InbreedingCoeff=-0.1518;MLEAC=89;MLEAF=0.285;MQ=41.96;MQRankSum=-1.990;QD=18.78;ReadPosRankSum=1.453;SOR=0.133","GT:AD:DP:GQ:PL"
"24","consensus_136",33,".","C","A",142417,".","AC=157;AF=0.497;AN=316;BaseQRankSum=7.408;ClippingRankSum=-0.009;DP=8645;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9432;MLEAC=157;MLEAF=0.497;MQ=41.93;MQRankSum=-10.208;QD=16.71;ReadPosRankSum=2.019;SOR=0.601","GT:AD:DP:GQ:PL"
"25","consensus_137",60,".","T","A",52985.9,".","AC=68;AF=0.224;AN=304;BaseQRankSum=3.075;ClippingRankSum=-0.000;DP=5888;ExcessHet=9.0958;FS=0.000;InbreedingCoeff=-0.1031;MLEAC=68;MLEAF=0.224;MQ=41.96;MQRankSum=-3.444;QD=20.01;ReadPosRankSum=1.428;SOR=0.109","GT:AD:DP:GQ:PL"
"26","consensus_145",55,".","G","A",77752.2,".","AC=144;AF=0.468;AN=308;BaseQRankSum=-3.467;ClippingRankSum=0.000;DP=4903;ExcessHet=0.1776;FS=0.000;InbreedingCoeff=0.1209;MLEAC=144;MLEAF=0.468;MQ=36.49;MQRankSum=-4.177;QD=21.50;ReadPosRankSum=1.230;SOR=0.684","GT:AD:DP:GQ:PL"
"27","consensus_146",57,".","G","T",27372.5,".","AC=86;AF=0.287;AN=300;BaseQRankSum=1.653;ClippingRankSum=0.000;DP=3572;ExcessHet=4.9645;FS=0.000;InbreedingCoeff=-0.0603;MLEAC=85;MLEAF=0.283;MQ=31.20;MQRankSum=-44.102;QD=14.76;ReadPosRankSum=-0.088;SOR=0.203","GT:AD:DP:GQ:PL"
"28","consensus_155",33,".","T","G",28183.5,".","AC=76;AF=0.244;AN=312;BaseQRankSum=-29.605;ClippingRankSum=0.000;DP=4949;ExcessHet=10.6661;FS=0.000;InbreedingCoeff=-0.1384;MLEAC=74;MLEAF=0.237;MQ=41.95;MQRankSum=-2.719;QD=12.03;ReadPosRankSum=-1.578;SOR=0.096","GT:AD:DP:GQ:PL"
"29","consensus_163",63,".","C","A",58903.3,".","AC=135;AF=0.441;AN=306;BaseQRankSum=-1.565;ClippingRankSum=0.000;DP=4108;ExcessHet=0.0000;FS=0.000;InbreedingCoeff=0.4942;MLEAC=132;MLEAF=0.431;MQ=41.59;MQRankSum=-9.493;QD=25.52;ReadPosRankSum=-0.447;SOR=0.343","GT:AD:DP:GQ:PL"
"30","consensus_173",78,".","T","A",50834.6,".","AC=67;AF=0.216;AN=310;BaseQRankSum=2.969;ClippingRankSum=-0.000;DP=6341;ExcessHet=11.7373;FS=0.000;InbreedingCoeff=-0.1227;MLEAC=67;MLEAF=0.216;MQ=41.95;MQRankSum=-4.744;QD=18.30;ReadPosRankSum=0.713;SOR=0.086","GT:AD:DP:GQ:PL"
"31","consensus_178",88,".","C","A",445.35,".","AC=3;AF=9.740e-03;AN=308;BaseQRankSum=0.505;ClippingRankSum=0.000;DP=4537;ExcessHet=3.0529;FS=0.000;InbreedingCoeff=-0.0124;MLEAC=3;MLEAF=9.740e-03;MQ=38.46;MQRankSum=-12.626;QD=6.85;ReadPosRankSum=-33.114;SOR=0.000","GT:AD:DP:GQ:PL"
"32","consensus_180",34,".","T","C",33420.4,".","AC=70;AF=0.222;AN=316;BaseQRankSum=-4.290;ClippingRankSum=-0.002;DP=9856;ExcessHet=46.1411;FS=0.000;InbreedingCoeff=-0.2850;MLEAC=70;MLEAF=0.222;MQ=41.93;MQRankSum=-23.677;QD=7.73;ReadPosRankSum=-0.329;SOR=0.018","GT:AD:DP:GQ:PL"
"33","consensus_184",23,".","G","A",21372.6,".","AC=76;AF=0.242;AN=314;BaseQRankSum=0.988;ClippingRankSum=0.000;DP=5721;ExcessHet=4.8929;FS=0.000;InbreedingCoeff=-0.0549;MLEAC=76;MLEAF=0.242;MQ=36.05;MQRankSum=-58.915;QD=7.98;ReadPosRankSum=1.585;SOR=0.049","GT:AD:DP:GQ:PL"
"34","consensus_188",71,".","A","C",123287,".","AC=134;AF=0.427;AN=314;BaseQRankSum=1.445;ClippingRankSum=-0.004;DP=10778;ExcessHet=168.0695;FS=0.000;InbreedingCoeff=-0.6494;MLEAC=134;MLEAF=0.427;MQ=41.95;MQRankSum=-5.464;QD=13.39;ReadPosRankSum=-1.534;SOR=0.258","GT:AD:DP:GQ:PL"
"35","consensus_199",29,".","G","T",35047,".","AC=66;AF=0.209;AN=316;BaseQRankSum=2.873;ClippingRankSum=-0.002;DP=10310;ExcessHet=41.6479;FS=0.000;InbreedingCoeff=-0.2682;MLEAC=66;MLEAF=0.209;MQ=41.93;MQRankSum=-19.079;QD=7.70;ReadPosRankSum=-1.343;SOR=0.018","GT:AD:DP:GQ:PL"
"36","consensus_203",52,".","T","A",46149.1,".","AC=74;AF=0.239;AN=310;BaseQRankSum=-3.401;ClippingRankSum=0.000;DP=5732;ExcessHet=23.9170;FS=0.000;InbreedingCoeff=-0.2082;MLEAC=74;MLEAF=0.239;MQ=41.95;MQRankSum=-5.734;QD=17.82;ReadPosRankSum=-0.266;SOR=0.090","GT:AD:DP:GQ:PL"
"37","consensus_208",69,".","G","A",81149.2,".","AC=128;AF=0.430;AN=298;BaseQRankSum=1.456;ClippingRankSum=0.000;DP=3916;ExcessHet=21.4282;FS=0.000;InbreedingCoeff=-0.2253;MLEAC=129;MLEAF=0.433;MQ=41.83;MQRankSum=-10.775;QD=23.25;ReadPosRankSum=1.136;SOR=1.024","GT:AD:DP:GQ:PL"
"38","consensus_211",28,".","A","G",96945.6,".","AC=151;AF=0.487;AN=310;BaseQRankSum=3.859;ClippingRankSum=0.000;DP=5678;ExcessHet=1.7654;FS=0.000;InbreedingCoeff=0.0295;MLEAC=151;MLEAF=0.487;MQ=41.79;MQRankSum=-6.777;QD=23.33;ReadPosRankSum=-1.090;SOR=0.586","GT:AD:DP:GQ:PL"
"39","consensus_212",62,".","A","G",412.45,".","AC=33;AF=0.109;AN=302;BaseQRankSum=4.619;ClippingRankSum=0.000;DP=3001;ExcessHet=2.4262;FS=0.000;InbreedingCoeff=-0.0218;MLEAC=25;MLEAF=0.083;MQ=34.27;MQRankSum=-32.515;QD=1.39;ReadPosRankSum=0.585;SOR=0.001","GT:AD:DP:GQ:PL"
"40","consensus_214",48,".","G","A",173781,".","AC=158;AF=0.503;AN=314;BaseQRankSum=-0.570;ClippingRankSum=-0.013;DP=9936;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.8629;MLEAC=158;MLEAF=0.503;MQ=41.86;MQRankSum=-17.641;QD=17.88;ReadPosRankSum=1.396;SOR=0.721","GT:AD:DP:GQ:PL"
"41","consensus_231",69,".","C","T",126.8,".","AC=11;AF=0.037;AN=300;BaseQRankSum=-19.086;ClippingRankSum=0.000;DP=3188;ExcessHet=3.8356;FS=0.000;InbreedingCoeff=-0.0530;MLEAC=9;MLEAF=0.030;MQ=35.95;MQRankSum=-25.881;QD=0.68;ReadPosRankSum=-4.223;SOR=0.001","GT:AD:DP:GQ:PL"
"42","consensus_233",28,".","A","C",128047,".","AC=164;AF=0.526;AN=312;BaseQRankSum=0.932;ClippingRankSum=-0.007;DP=6746;ExcessHet=1.3102;FS=0.000;InbreedingCoeff=0.0369;MLEAC=163;MLEAF=0.522;MQ=41.94;MQRankSum=-5.907;QD=23.53;ReadPosRankSum=0.234;SOR=0.746","GT:AD:DP:GQ:PL"
"43","consensus_237",33,".","A","G",128.82,".","AC=10;AF=0.034;AN=296;BaseQRankSum=1.242;ClippingRankSum=0.000;DP=2369;ExcessHet=0.0240;FS=0.000;InbreedingCoeff=0.1588;MLEAC=6;MLEAF=0.020;MQ=35.94;MQRankSum=-16.160;QD=5.60;ReadPosRankSum=0.244;SOR=0.000","GT:AD:DP:GQ:PL"
"44","consensus_240",85,".","A","T",79881.8,".","AC=157;AF=0.506;AN=310;BaseQRankSum=8.798;ClippingRankSum=0.000;DP=5657;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.7035;MLEAC=158;MLEAF=0.510;MQ=41.89;MQRankSum=-8.107;QD=15.34;ReadPosRankSum=-1.522;SOR=0.758","GT:AD:DP:GQ:PL"
"45","consensus_241",39,".","G","A",96598.9,".","AC=107;AF=0.339;AN=316;BaseQRankSum=1.176;ClippingRankSum=-0.008;DP=13299;ExcessHet=126.2427;FS=0.000;InbreedingCoeff=-0.5120;MLEAC=107;MLEAF=0.339;MQ=41.95;MQRankSum=-9.227;QD=9.96;ReadPosRankSum=-1.400;SOR=0.091","GT:AD:DP:GQ:PL"
"46","consensus_253",37,".","G","A",38601.9,".","AC=78;AF=0.250;AN=312;BaseQRankSum=3.061;ClippingRankSum=0.000;DP=4080;ExcessHet=12.2794;FS=0.000;InbreedingCoeff=-0.1185;MLEAC=78;MLEAF=0.250;MQ=35.21;MQRankSum=47.548;QD=18.40;ReadPosRankSum=0.457;SOR=0.132","GT:AD:DP:GQ:PL"
"47","consensus_259",76,".","G","A",70765.1,".","AC=145;AF=0.468;AN=310;BaseQRankSum=-3.299;ClippingRankSum=0.000;DP=4913;ExcessHet=0.0187;FS=0.000;InbreedingCoeff=0.1891;MLEAC=145;MLEAF=0.468;MQ=41.96;MQRankSum=-5.299;QD=20.91;ReadPosRankSum=-0.482;SOR=0.364","GT:AD:DP:GQ:PL"
"48","consensus_272",11,".","A","C",51196.3,".","AC=75;AF=0.247;AN=304;BaseQRankSum=0.064;ClippingRankSum=0.000;DP=5190;ExcessHet=33.8024;FS=0.000;InbreedingCoeff=-0.2709;MLEAC=74;MLEAF=0.243;MQ=41.90;MQRankSum=-14.889;QD=19.47;ReadPosRankSum=2.025;SOR=0.115","GT:AD:DP:GQ:PL"
"49","consensus_274",70,".","T","G",86990.7,".","AC=163;AF=0.533;AN=306;BaseQRankSum=1.928;ClippingRankSum=0.000;DP=4438;ExcessHet=2.2887;FS=0.000;InbreedingCoeff=-0.0023;MLEAC=165;MLEAF=0.539;MQ=41.92;MQRankSum=-3.852;QD=24.70;ReadPosRankSum=-1.383;SOR=0.824","GT:AD:DP:GQ:PL"
"50","consensus_285",85,".","A","T",90562.6,".","AC=151;AF=0.503;AN=300;BaseQRankSum=-0.681;ClippingRankSum=0.000;DP=4939;ExcessHet=1.2294;FS=0.000;InbreedingCoeff=0.0362;MLEAC=153;MLEAF=0.510;MQ=41.95;MQRankSum=-3.688;QD=23.31;ReadPosRankSum=-0.075;SOR=0.675","GT:AD:DP:GQ:PL"
"51","consensus_287",78,".","G","T",24982.8,".","AC=77;AF=0.260;AN=296;BaseQRankSum=1.426;ClippingRankSum=0.000;DP=3296;ExcessHet=0.0800;FS=0.000;InbreedingCoeff=0.1260;MLEAC=73;MLEAF=0.247;MQ=41.96;MQRankSum=-4.117;QD=19.58;ReadPosRankSum=1.027;SOR=0.077","GT:AD:DP:GQ:PL"
"52","consensus_295",12,".","G","C",12211.1,".","AC=64;AF=0.215;AN=298;BaseQRankSum=-0.955;ClippingRankSum=0.000;DP=2810;ExcessHet=4.4029;FS=0.000;InbreedingCoeff=-0.0648;MLEAC=63;MLEAF=0.211;MQ=35.21;MQRankSum=-42.181;QD=10.73;ReadPosRankSum=0.476;SOR=0.073","GT:AD:DP:GQ:PL"
"53","consensus_302",84,".","G","T",33256.4,".","AC=73;AF=0.240;AN=304;BaseQRankSum=2.122;ClippingRankSum=0.000;DP=5172;ExcessHet=17.7244;FS=0.000;InbreedingCoeff=-0.1646;MLEAC=72;MLEAF=0.237;MQ=35.67;MQRankSum=-55.869;QD=14.63;ReadPosRankSum=7.877;SOR=0.076","GT:AD:DP:GQ:PL"
"54","consensus_310",33,".","T","A",46851.4,".","AC=91;AF=0.295;AN=308;BaseQRankSum=2.841;ClippingRankSum=0.000;DP=3150;ExcessHet=2.1959;FS=0.000;InbreedingCoeff=-0.0059;MLEAC=90;MLEAF=0.292;MQ=41.95;MQRankSum=-2.826;QD=25.13;ReadPosRankSum=0.066;SOR=0.405","GT:AD:DP:GQ:PL"
"55","consensus_313",57,".","A","G",51333.6,".","AC=80;AF=0.261;AN=306;BaseQRankSum=1.561;ClippingRankSum=0.000;DP=5664;ExcessHet=32.3381;FS=0.000;InbreedingCoeff=-0.2527;MLEAC=80;MLEAF=0.261;MQ=41.95;MQRankSum=-7.376;QD=18.83;ReadPosRankSum=0.043;SOR=0.115","GT:AD:DP:GQ:PL"
"56","consensus_319",14,".","T","G",42708,".","AC=88;AF=0.278;AN=316;BaseQRankSum=1.463;ClippingRankSum=-0.000;DP=6223;ExcessHet=17.0522;FS=0.000;InbreedingCoeff=-0.1773;MLEAC=88;MLEAF=0.278;MQ=35.73;MQRankSum=-66.781;QD=13.17;ReadPosRankSum=0.100;SOR=0.132","GT:AD:DP:GQ:PL"
"57","consensus_320",27,".","C","A",51879.5,".","AC=82;AF=0.266;AN=308;BaseQRankSum=-1.292;ClippingRankSum=-0.000;DP=5890;ExcessHet=17.2625;FS=0.000;InbreedingCoeff=-0.1771;MLEAC=82;MLEAF=0.266;MQ=41.94;MQRankSum=-7.199;QD=17.29;ReadPosRankSum=-0.256;SOR=0.114","GT:AD:DP:GQ:PL"
"58","consensus_321",48,".","C","A",152.97,".","AC=21;AF=0.111;AN=190;BaseQRankSum=-3.898;ClippingRankSum=0.000;DP=1464;ExcessHet=0.0000;FS=0.000;InbreedingCoeff=0.5403;MLEAC=12;MLEAF=0.063;MQ=41.84;MQRankSum=-22.716;QD=5.10;ReadPosRankSum=-14.475;SOR=0.000","GT:AD:DP:GQ:PL"
"59","consensus_327",50,".","T","C",76902,".","AC=155;AF=0.491;AN=316;BaseQRankSum=-2.750;ClippingRankSum=-0.002;DP=8091;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.8862;MLEAC=155;MLEAF=0.491;MQ=35.28;MQRankSum=-88.524;QD=9.68;ReadPosRankSum=3.377;SOR=0.487","GT:AD:DP:GQ:PL"
"60","consensus_329",51,".","G","A",22545.3,".","AC=123;AF=0.504;AN=244;BaseQRankSum=0.501;ClippingRankSum=0.000;DP=2254;ExcessHet=0.0000;FS=0.000;InbreedingCoeff=0.3832;MLEAC=121;MLEAF=0.496;MQ=29.83;MQRankSum=-46.159;QD=15.17;ReadPosRankSum=-0.144;SOR=0.511","GT:AD:DP:GQ:PL"
"61","consensus_331",68,".","T","C",66696.6,".","AC=152;AF=0.487;AN=312;BaseQRankSum=4.186;ClippingRankSum=0.000;DP=3761;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.6750;MLEAC=153;MLEAF=0.490;MQ=41.89;MQRankSum=2.379;QD=18.98;ReadPosRankSum=2.671;SOR=0.685","GT:AD:DP:GQ:PL"
"62","consensus_335",51,".","G","A",28144.1,".","AC=68;AF=0.224;AN=304;BaseQRankSum=-3.004;ClippingRankSum=0.000;DP=3770;ExcessHet=3.8189;FS=0.000;InbreedingCoeff=-0.0461;MLEAC=67;MLEAF=0.220;MQ=41.96;MQRankSum=-3.733;QD=17.05;ReadPosRankSum=-0.879;SOR=0.078","GT:AD:DP:GQ:PL"
"63","consensus_344",32,".","A","C",58298.8,".","AC=90;AF=0.285;AN=316;BaseQRankSum=-2.363;ClippingRankSum=-0.000;DP=6235;ExcessHet=55.3396;FS=0.000;InbreedingCoeff=-0.3386;MLEAC=90;MLEAF=0.285;MQ=41.92;MQRankSum=-16.101;QD=16.25;ReadPosRankSum=-1.401;SOR=0.137","GT:AD:DP:GQ:PL"
"64","consensus_345",59,".","T","G",73097.7,".","AC=111;AF=0.351;AN=316;BaseQRankSum=-7.993;ClippingRankSum=-0.002;DP=9262;ExcessHet=139.1022;FS=0.000;InbreedingCoeff=-0.5421;MLEAC=111;MLEAF=0.351;MQ=41.94;MQRankSum=-6.127;QD=11.43;ReadPosRankSum=0.959;SOR=0.109","GT:AD:DP:GQ:PL"
"65","consensus_346",68,".","G","A",209040,".","AC=156;AF=0.494;AN=316;BaseQRankSum=-0.292;ClippingRankSum=-0.006;DP=12826;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9750;MLEAC=156;MLEAF=0.494;MQ=41.95;MQRankSum=-5.602;QD=16.41;ReadPosRankSum=2.609;SOR=0.617","GT:AD:DP:GQ:PL"
"66","consensus_354",29,".","A","C",19360,".","AC=68;AF=0.219;AN=310;BaseQRankSum=3.537;ClippingRankSum=0.000;DP=4127;ExcessHet=18.3202;FS=0.000;InbreedingCoeff=-0.1950;MLEAC=67;MLEAF=0.216;MQ=31.07;MQRankSum=-59.549;QD=10.31;ReadPosRankSum=0.566;SOR=0.098","GT:AD:DP:GQ:PL"
"67","consensus_355",52,".","G","A",63687.3,".","AC=159;AF=0.513;AN=310;BaseQRankSum=0.458;ClippingRankSum=0.000;DP=4931;ExcessHet=167.1979;FS=0.000;InbreedingCoeff=-0.6609;MLEAC=160;MLEAF=0.516;MQ=31.52;MQRankSum=-64.390;QD=14.28;ReadPosRankSum=0.869;SOR=0.737","GT:AD:DP:GQ:PL"
"68","consensus_379",48,".","T","C",530.25,".","AC=63;AF=0.233;AN=270;BaseQRankSum=-27.526;ClippingRankSum=0.000;DP=2488;ExcessHet=0.0000;FS=0.000;InbreedingCoeff=0.5287;MLEAC=38;MLEAF=0.141;MQ=37.46;MQRankSum=-27.427;QD=3.44;ReadPosRankSum=-3.757;SOR=0.004","GT:AD:DP:GQ:PL"
"69","consensus_390",51,".","A","G",85017.2,".","AC=145;AF=0.468;AN=310;BaseQRankSum=4.888;ClippingRankSum=0.000;DP=5164;ExcessHet=0.0461;FS=0.000;InbreedingCoeff=0.1752;MLEAC=146;MLEAF=0.471;MQ=41.92;MQRankSum=-8.667;QD=22.82;ReadPosRankSum=2.483;SOR=0.503","GT:AD:DP:GQ:PL"
"70","consensus_393",16,".","T","A",29833.3,".","AC=102;AF=0.340;AN=300;BaseQRankSum=1.361;ClippingRankSum=0.000;DP=3565;ExcessHet=0.0000;FS=0.000;InbreedingCoeff=0.3462;MLEAC=101;MLEAF=0.337;MQ=41.81;MQRankSum=-10.789;QD=15.53;ReadPosRankSum=0.890;SOR=0.218","GT:AD:DP:GQ:PL"
"71","consensus_410",50,".","G","A",84126.9,".","AC=154;AF=0.490;AN=314;BaseQRankSum=-21.126;ClippingRankSum=-0.000;DP=5826;ExcessHet=0.0432;FS=0.000;InbreedingCoeff=0.1802;MLEAC=154;MLEAF=0.490;MQ=29.51;MQRankSum=-5.620;QD=19.22;ReadPosRankSum=1.018;SOR=0.763","GT:AD:DP:GQ:PL"
"72","consensus_414",69,".","G","T",39672.2,".","AC=76;AF=0.245;AN=310;BaseQRankSum=0.671;ClippingRankSum=0.000;DP=4766;ExcessHet=7.6323;FS=0.000;InbreedingCoeff=-0.0869;MLEAC=76;MLEAF=0.245;MQ=41.95;MQRankSum=-5.613;QD=18.01;ReadPosRankSum=-0.810;SOR=0.096","GT:AD:DP:GQ:PL"
